"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
1.79109616610434e-33,1.23279014975973,0.915,0.474,1.58888140895116e-29,"3","LOC102697246"
4.61307830181252e-29,1.09547761123465,0.898,0.534,4.09226176153789e-25,"3","LOC138238244"
3.15636564587571e-28,1.26590912546966,0.773,0.349,2.80001196445634e-24,"3","LOC138238231"
8.99839431189146e-28,1.4431559492311,0.665,0.269,7.98247559407891e-24,"3","ybx1"
6.81693817855827e-25,1.20750269557714,0.778,0.388,6.04730585819904e-21,"3","LOC102686858"
1.47884922199601e-24,1.13152736883062,0.818,0.452,1.31188714483266e-20,"3","casq1b"
1.13673902765226e-23,1.48119508352531,0.602,0.253,1.00840119143032e-19,"3","actc2"
3.61112631881631e-23,1.39748357331333,0.619,0.265,3.20343015742194e-19,"3","mybpha"
2.85697377121524e-20,0.810923872610968,0.903,0.623,2.53442143244504e-16,"3","neb"
1.44589023385136e-19,1.14198899720612,0.648,0.301,1.28264922644954e-15,"3","unm-hu7910"
6.44741453305034e-19,1.6532775003747,0.381,0.122,5.71950143226896e-15,"3","ppdpfb"
1.30659636435138e-18,1.35601860745552,0.5,0.203,1.15908163481611e-14,"3","ank1a"
2.49898862096363e-18,1.3670024301788,0.523,0.227,2.21685280565683e-14,"3","fxr2"
8.77555056584594e-17,1.7192515377781,0.324,0.1,7.78479090696193e-13,"3","fam78ab"
6.89320620526052e-16,1.87250317742041,0.261,0.071,6.11496322468661e-12,"3","myoz1a"
7.53769840491267e-14,1.42459272335557,0.347,0.129,6.68669225499803e-10,"3","klhl43"
8.39505623026942e-14,1.47367276556528,0.312,0.107,7.44725438187201e-10,"3","tmod4"
1.38448004307298e-10,1.34756544777147,0.301,0.12,1.22817224621004e-06,"3","serbp1a"
2.60607548175322e-09,1.32837321241631,0.295,0.127,2.31184955986328e-05,"3","LOC102682355"
4.51262178406842e-09,0.768704107995337,0.585,0.365,4.0031467846471e-05,"3","ryr3"
4.69514206079421e-09,1.0326876330369,0.381,0.187,4.16506052213054e-05,"3","klhl31"
5.09578314045674e-09,1.02207953347092,0.415,0.216,4.52046922389918e-05,"3","LOC102683288"
6.45783545945364e-09,0.968597203200148,0.42,0.218,5.72874583608133e-05,"3","jph1a"
7.42353107342394e-09,1.10815048359459,0.335,0.157,6.58541441523438e-05,"3","LOC138235465"
3.08646720904283e-08,1.25340507957737,0.267,0.116,0.000273800506114189,"3","cavin4a"
4.86353203164499e-08,1.35211267799534,0.256,0.111,0.000431443926527227,"3","LOC102694050"
5.13140775217903e-08,0.923826825803477,0.369,0.187,0.000455207181695802,"3","LOC102694151"
2.18829199263316e-07,0.8153592703168,0.449,0.263,0.00194123382666488,"3","srl"
6.74309896006219e-07,0.675483090293951,0.494,0.303,0.00598180308747116,"3","slc8a3"
1.62764686610602e-06,0.737803980062955,0.312,0.16,0.0144388553492265,"3","LOC138224484"
2.702905424993e-06,0.641362107375951,0.409,0.234,0.0239774740251129,"3","trdn"
3.92462804482172e-06,1.16785067320445,0.256,0.129,0.0348153753856135,"3","pmp22b"
4.03269917014678e-06,0.677745025535276,0.477,0.304,0.0357740743383721,"3","spega"
4.21431220990807e-06,0.592395258227673,0.494,0.313,0.0373851636140945,"3","obscnb"
6.65824417260451e-06,0.572741576568556,0.46,0.284,0.0590652840551746,"3","ryr1b"
1.89716485857843e-05,0.952291203314056,0.256,0.133,0.168297494604492,"3","LOC107075882"
0.00168412857114022,0.555511733551993,0.273,0.172,1,"3","xirp2b"
0.00636893925937402,0.432829674346664,0.307,0.212,1,"3","pdlim7"
9.59035045848866e-235,5.44763716779521,1,0.045,8.50759989172529e-231,"4","LOC102693478"
2.72943949745822e-162,4.49903319414852,0.905,0.084,2.42128577819518e-158,"4","grin2aa"
3.71026448032847e-19,0.719687006216009,0.982,0.881,3.29137562049938e-15,"4","LOC107079931"
5.72733491624795e-12,1.25802803551431,0.402,0.177,5.08071880420356e-08,"4","cop1"
2.42444097042642e-09,0.403915741051342,1,0.949,2.15072158486528e-05,"4","ttn.2"
6.20052837435204e-09,0.603322090709402,0.793,0.582,5.5004887208877e-05,"4","LOC102698088"
2.29412904376052e-05,0.862089438673767,0.296,0.163,0.203512187471995,"4","LOC138224484"
3.23372981268656e-05,0.458456702667173,0.757,0.644,0.286864171683425,"4","neb"
0.000240240784427095,0.398307107930761,0.645,0.478,1,"4","casq1b"
0.00416799187456864,0.5438261087737,0.331,0.231,1,"4","jph1a"
0.00927156339955367,0.583548371596048,0.379,0.296,1,"4","ryr1b"
1.11111881853251e-118,3.84290024565626,1,0.251,9.85673503920194e-115,"5","LOC138224942"
